Ergebnis E5-Klausur vom 15.02.2018
Stand: 17.02.2018

Matrikelnr.	Punkte	Note
 2000145	19,0	3,3
10378102	13,5	4,0
10437349	2,5	5,0
10950160	19,0	3,3
10956202	20,0	3,0
10972667	18,0	3,3
10983958	17,5	3,3
11018680	13,5	4,0
11112701	16,0	3,7
11141278	8,0	5,0
11143979	29,0	2,0
11146712	14,0	4,0
11147359	21,0	3,0
11151180	28,0	2,0
11163192	10,5	5,0
11163370	21,0	3,0
11165588	8,0	5,0
11165681	11,5	5,0
11167973	22,0	3,0
11175541	8,0	5,0
11176296	22,5	2,7
11177157	37,5	1,0
11178412	19,5	3,3
11182263	20,0	3,0
11189140	7,5	5,0
11189205	19,5	3,3
11191559	13,5	4,0
11192424	19,0	3,3
11193677	17,5	3,3
11195865	16,0	3,7
11196001	24,5	2,7
11207668	21,0	3,0
11221595	37,0	1,0
11251406	32,5	1,3
11255676	24,5	2,7
11258142	14,0	4,0
11304162	21,5	3,0
11326778	22,0	3,0
11336322	24,0	2,7
11336341	23,0	2,7
11336394	21,0	3,0
11336430	19,0	3,3
11336498	30,0	1,7
11336587	23,5	2,7
11336604	20,5	3,0
11336676	22,5	2,7
11336869	29,5	2,0
11337255	23,5	2,7
11337471	28,5	2,0
11337518	26,5	2,3
11337720	19,5	3,3
11338070	22,0	3,0
11338120	26,5	2,3
11338351	24,5	2,7
11338898	31,0	1,7
11339104	28,0	2,0
11339301	35,0	1,0
11339373	42,0	1,0
11339481	19,5	3,3
11339689	25,5	2,3
11340296	16,5	3,7
11340525	29,0	2,0
11340686	31,0	1,7
11340690	31,5	1,7
11341176	32,5	1,3
11341208	24,5	2,7
11341778	37,0	1,0
11341852	26,5	2,3
11342287	11,5	5,0
11342855	30,0	1,7
11343740	9,0	5,0
11343773	22,0	3,0
11344297	39,0	1,0
11345463	26,0	2,3
11346057	17,5	3,3
11346837	14,5	4,0
11346841	25,5	2,3
11347613	30,0	1,7
11349303	20,0	3,0
11350226	27,0	2,3
11350457	24,0	2,7
11350692	36,5	1,0
11351021	17,0	3,7
11352467	23,5	2,7
11353530	18,0	3,3
11354852	21,0	3,0
11354871	19,0	3,3
11355150	19,5	3,3
11355198	20,0	3,0
11355338	18,0	3,3
11355624	18,0	3,3
11355978	30,0	1,7
11356203	29,0	2,0
11356415	23,5	2,7
11356990	32,5	1,3
11357174	33,5	1,3
11359428	13,5	4,0
11359700	20,5	3,0
11360232	33,5	1,3
11361490	35,5	1,0
11363118	19,0	3,3
11365433	29,0	2,0
11365594	15,5	3,7
11365715	25,0	2,3
11366262	26,5	2,3
11366455	23,5	2,7
11366506	17,0	3,7
11366667	39,0	1,0
11366811	24,5	2,7
11367340	25,5	2,3
11367439	33,5	1,3
11368287	26,0	2,3
11368380	19,0	3,3
11368874	29,5	2,0
11368910	10,0	5,0
11369082	17,0	3,7
11369453	24,0	2,7
11369754	13,5	4,0
11370639	38,0	1,0
11370713	18,0	3,3
11370790	28,0	2,0
11372300	36,5	1,0
11373251	30,0	1,7
11373285	17,0	3,7
11374343	25,5	2,3
11374413	30,0	1,7
11374907	32,5	1,3
11374930	17,5	3,3
11376508	9,5	5,0
11376917	21,0	3,0
11377125	21,5	3,0
11377290	33,5	1,3
11377520	19,0	3,3
11377924	27,5	2,0
11378132	22,5	2,7
11378895	16,0	3,7
11378908	39,0	1,0
11379008	30,5	1,7
11379582	37,5	1,0
11380260	31,0	1,7
11380486	23,0	2,7
11380927	20,0	3,0
11381718	6,0	5,0
11381991	16,0	3,7
11382354	23,0	2,7
11383802	22,5	2,7
11386497	19,0	3,3
11386500	37,0	1,0
11386783	31,5	1,7
11387682	18,0	3,3
11387767	16,0	3,7
11388685	17,0	3,7
11388863	18,5	3,3
11389828	36,0	1,0
11390204	22,0	3,0
11390505	26,0	2,3
11391669	19,0	3,3
11392303	30,0	1,7
11392676	37,5	1,0
11393077	39,0	1,0
11393359	26,0	2,3
11397078	36,5	1,0
11398121	19,5	3,3
11399459	20,0	3,0
11401875	18,5	3,3
11402967	19,5	3,3
11403616	17,0	3,7
11404445	20,0	3,0
11407800	32,5	1,3
11409311	27,5	2,0
11409877	15,5	3,7
11426317	15,5	3,7
11453013	19,5	3,3
11455678	22,5	2,7
11456420	23,5	2,7
11549292	8,5	5,0
11564894	18,5	3,3
11585068	15,0	3,7
11766745	19,0	3,3
11767880	23,5	2,7
11809673	8,5	5,0
11810420	22,5	2,7
11810952	17,5	3,3


Mindestpunktzahlen fuer Notenstufen:
12.5 -> 4.0
15.0 -> 3.7
17.5 -> 3.3
20.0 -> 3.0
22.5 -> 2.7
25.0 -> 2.3
27.5 -> 2.0
30.0 -> 1.7
32.5 -> 1.3
35.0 -> 1.0

